distribution,alpha,method,bits_saved
uniform_100,0.68,bcsf,-0.30211200000000016
uniform_100,0.69,bcsf,-0.269968
uniform_100,0.7,bcsf,-0.23954399999999998
uniform_100,0.71,bcsf,-0.20687999999999995
uniform_100,0.72,bcsf,-0.17568799999999962
uniform_100,0.73,bcsf,-0.14136000000000015
uniform_100,0.74,bcsf,-0.10010399999999997
uniform_100,0.75,bcsf,-0.05800800000000006
uniform_100,0.76,bcsf,-0.1290079999999998
uniform_100,0.77,bcsf,-0.08655200000000018
uniform_100,0.78,bcsf,-0.04108799999999979
uniform_100,0.79,bcsf,0.0033600000000002517
uniform_100,0.8,bcsf,0.04754400000000025
uniform_100,0.81,bcsf,0.08993600000000024
uniform_100,0.82,bcsf,0.1416240000000002
uniform_100,0.83,bcsf,0.19434400000000007
uniform_100,0.84,bcsf,0.2470640000000004
uniform_100,0.85,bcsf,0.30041600000000024
uniform_100,0.86,bcsf,0.3553759999999999
uniform_100,0.87,bcsf,0.40648799999999996
uniform_100,0.88,bcsf,0.46119200000000005
uniform_100,0.89,bcsf,0.513272
uniform_100,0.9,bcsf,0.523352
uniform_100,0.91,bcsf,0.585728
uniform_100,0.92,bcsf,0.650352
uniform_100,0.93,bcsf,0.714656
uniform_100,0.94,bcsf,0.7783840000000001
uniform_100,0.95,bcsf,0.829768
uniform_100,0.96,bcsf,0.90412
uniform_100,0.97,bcsf,0.9707119999999999
uniform_100,0.98,bcsf,1.0562559999999999
uniform_100,0.99,bcsf,1.145448
uniform_100,0.5,hkp,0.0
uniform_100,0.51,hkp,0.0
uniform_100,0.52,hkp,0.0
uniform_100,0.53,hkp,0.0
uniform_100,0.54,hkp,0.0
uniform_100,0.55,hkp,0.0
uniform_100,0.56,hkp,0.0
uniform_100,0.57,hkp,0.0
uniform_100,0.58,hkp,0.0
uniform_100,0.59,hkp,0.0
uniform_100,0.6,hkp,0.0
uniform_100,0.61,hkp,0.0
uniform_100,0.62,hkp,0.0
uniform_100,0.63,hkp,0.0
uniform_100,0.64,hkp,-0.2723439999999999
uniform_100,0.65,hkp,-0.2438880000000001
uniform_100,0.66,hkp,-0.2132559999999999
uniform_100,0.67,hkp,-0.18345600000000006
uniform_100,0.68,hkp,-0.1526320000000001
uniform_100,0.69,hkp,-0.12264000000000008
uniform_100,0.7,hkp,-0.23954399999999998
uniform_100,0.71,hkp,-0.20687999999999995
uniform_100,0.72,hkp,-0.17568799999999962
uniform_100,0.73,hkp,-0.14136000000000015
uniform_100,0.74,hkp,-0.10010399999999997
uniform_100,0.75,hkp,-0.05800800000000006
uniform_100,0.76,hkp,-0.014063999999999854
uniform_100,0.77,hkp,0.026488000000000067
uniform_100,0.78,hkp,0.06967200000000018
uniform_100,0.79,hkp,0.11099199999999998
uniform_100,0.8,hkp,0.1541760000000001
uniform_100,0.81,hkp,0.19568800000000008
uniform_100,0.82,hkp,0.1416240000000002
uniform_100,0.83,hkp,0.19434400000000007
uniform_100,0.84,hkp,0.2470640000000004
uniform_100,0.85,hkp,0.30041600000000024
uniform_100,0.86,hkp,0.3553759999999999
uniform_100,0.87,hkp,0.40648799999999996
uniform_100,0.88,hkp,0.46119200000000005
uniform_100,0.89,hkp,0.460008
uniform_100,0.9,hkp,0.523352
uniform_100,0.91,hkp,0.585728
uniform_100,0.92,hkp,0.650352
uniform_100,0.93,hkp,0.6820879999999998
uniform_100,0.94,hkp,0.755864
uniform_100,0.95,hkp,0.829768
uniform_100,0.96,hkp,0.8872720000000001
uniform_100,0.97,hkp,0.9707119999999999
uniform_100,0.98,hkp,1.0511759999999999
uniform_100,0.99,hkp,1.140848
zipfian,0.5,autocsf,0.0
zipfian,0.51,autocsf,0.0
zipfian,0.52,autocsf,0.0
zipfian,0.53,autocsf,0.0
zipfian,0.54,autocsf,0.0
zipfian,0.55,autocsf,0.0
zipfian,0.56,autocsf,0.0
zipfian,0.57,autocsf,0.0
zipfian,0.58,autocsf,0.0
zipfian,0.59,autocsf,0.0
zipfian,0.6,autocsf,0.0
zipfian,0.61,autocsf,0.0
zipfian,0.62,autocsf,0.0
zipfian,0.63,autocsf,0.0
zipfian,0.64,autocsf,0.0
zipfian,0.65,autocsf,0.0
zipfian,0.66,autocsf,0.0
zipfian,0.67,autocsf,0.0
zipfian,0.68,autocsf,0.0
zipfian,0.69,autocsf,0.0
zipfian,0.7,autocsf,0.0
zipfian,0.71,autocsf,0.0
zipfian,0.72,autocsf,0.05566400000000016
zipfian,0.73,autocsf,0.07247199999999987
zipfian,0.74,autocsf,0.0871599999999999
zipfian,0.75,autocsf,0.10029599999999972
zipfian,0.76,autocsf,0.11774399999999963
zipfian,0.77,autocsf,0.131656
zipfian,0.78,autocsf,0.145432
zipfian,0.79,autocsf,0.15986399999999978
zipfian,0.8,autocsf,0.21755199999999997
zipfian,0.81,autocsf,0.24531199999999975
zipfian,0.82,autocsf,0.27359199999999984
zipfian,0.83,autocsf,0.3009680000000001
zipfian,0.84,autocsf,0.32763200000000015
zipfian,0.85,autocsf,0.3571279999999999
zipfian,0.86,autocsf,0.41668799999999995
zipfian,0.87,autocsf,0.4548239999999997
zipfian,0.88,autocsf,0.494248
zipfian,0.89,autocsf,0.533472
zipfian,0.9,autocsf,0.5753999999999999
zipfian,0.91,autocsf,0.616288
zipfian,0.92,autocsf,0.6804320000000001
zipfian,0.93,autocsf,0.730176
zipfian,0.94,autocsf,0.780544
zipfian,0.95,autocsf,0.8470079999999999
zipfian,0.96,autocsf,0.9116
zipfian,0.97,autocsf,0.9848399999999999
zipfian,0.98,autocsf,1.0641280000000002
zipfian,0.99,autocsf,1.152304
zipfian,0.5,bcsf,-0.5131040000000002
zipfian,0.51,bcsf,-0.4971999999999994
zipfian,0.52,bcsf,-0.4784080000000004
zipfian,0.53,bcsf,-0.460264
zipfian,0.54,bcsf,-0.4441040000000003
zipfian,0.55,bcsf,-0.4261520000000001
zipfian,0.56,bcsf,-0.4086479999999999
zipfian,0.57,bcsf,-0.38980000000000015
zipfian,0.58,bcsf,-0.3740319999999997
zipfian,0.59,bcsf,-0.3531279999999999
zipfian,0.6,bcsf,-0.3352400000000002
zipfian,0.61,bcsf,-0.3182480000000001
zipfian,0.62,bcsf,-0.290384
zipfian,0.63,bcsf,-0.2621039999999999
zipfian,0.64,bcsf,-0.23119200000000006
zipfian,0.65,bcsf,-0.3628880000000003
zipfian,0.66,bcsf,-0.3313600000000001
zipfian,0.67,bcsf,-0.30112000000000005
zipfian,0.68,bcsf,-0.2727919999999999
zipfian,0.69,bcsf,-0.23774399999999973
zipfian,0.7,bcsf,-0.2070479999999999
zipfian,0.71,bcsf,-0.17577600000000038
zipfian,0.72,bcsf,-0.14712799999999993
zipfian,0.73,bcsf,-0.1073599999999999
zipfian,0.74,bcsf,-0.06435199999999996
zipfian,0.75,bcsf,-0.025576000000000043
zipfian,0.76,bcsf,0.0172399999999997
zipfian,0.77,bcsf,0.059344000000000285
zipfian,0.78,bcsf,0.10042399999999985
zipfian,0.79,bcsf,0.1386879999999997
zipfian,0.8,bcsf,0.17868799999999974
zipfian,0.81,bcsf,0.21720799999999985
zipfian,0.82,bcsf,0.25695200000000007
zipfian,0.83,bcsf,0.22032000000000007
zipfian,0.84,bcsf,0.2713200000000002
zipfian,0.85,bcsf,0.32488799999999984
zipfian,0.86,bcsf,0.3752
zipfian,0.87,bcsf,0.4247359999999998
zipfian,0.88,bcsf,0.4758800000000001
zipfian,0.89,bcsf,0.5265679999999999
zipfian,0.9,bcsf,0.576608
zipfian,0.91,bcsf,0.6037759999999999
zipfian,0.92,bcsf,0.6653519999999999
zipfian,0.93,bcsf,0.724176
zipfian,0.94,bcsf,0.787232
zipfian,0.95,bcsf,0.8411359999999999
zipfian,0.96,bcsf,0.9148799999999999
zipfian,0.97,bcsf,0.9814879999999999
zipfian,0.98,bcsf,1.0641280000000002
zipfian,0.99,bcsf,1.152048
zipfian,0.5,hkp,0.0
zipfian,0.51,hkp,0.0
zipfian,0.52,hkp,0.0
zipfian,0.53,hkp,0.0
zipfian,0.54,hkp,0.0
zipfian,0.55,hkp,0.0
zipfian,0.56,hkp,0.0
zipfian,0.57,hkp,0.0
zipfian,0.58,hkp,0.0
zipfian,0.59,hkp,0.0
zipfian,0.6,hkp,0.0
zipfian,0.61,hkp,0.0
zipfian,0.62,hkp,0.0
zipfian,0.63,hkp,0.0
zipfian,0.64,hkp,-0.23119200000000006
zipfian,0.65,hkp,-0.20304800000000034
zipfian,0.66,hkp,-0.17315999999999976
zipfian,0.67,hkp,-0.1429039999999997
zipfian,0.68,hkp,-0.11493600000000015
zipfian,0.69,hkp,-0.08427999999999969
zipfian,0.7,hkp,-0.2070479999999999
zipfian,0.71,hkp,-0.17577600000000038
zipfian,0.72,hkp,-0.14712799999999993
zipfian,0.73,hkp,-0.1073599999999999
zipfian,0.74,hkp,-0.06435199999999996
zipfian,0.75,hkp,-0.025576000000000043
zipfian,0.76,hkp,0.0172399999999997
zipfian,0.77,hkp,0.059344000000000285
zipfian,0.78,hkp,0.10042399999999985
zipfian,0.79,hkp,0.1386879999999997
zipfian,0.8,hkp,0.17868799999999974
zipfian,0.81,hkp,0.21720799999999985
zipfian,0.82,hkp,0.16707199999999967
zipfian,0.83,hkp,0.22032000000000007
zipfian,0.84,hkp,0.2713200000000002
zipfian,0.85,hkp,0.32488799999999984
zipfian,0.86,hkp,0.3752
zipfian,0.87,hkp,0.4247359999999998
zipfian,0.88,hkp,0.4758800000000001
zipfian,0.89,hkp,0.47731199999999996
zipfian,0.9,hkp,0.5405359999999999
zipfian,0.91,hkp,0.6037759999999999
zipfian,0.92,hkp,0.6653519999999999
zipfian,0.93,hkp,0.6968399999999999
zipfian,0.94,hkp,0.7690640000000001
zipfian,0.95,hkp,0.8411359999999999
zipfian,0.96,hkp,0.9004479999999999
zipfian,0.97,hkp,0.9814879999999999
zipfian,0.98,hkp,1.05936
zipfian,0.99,hkp,1.149024
uniform_100,0.5,vlburr,0.0
uniform_100,0.55,vlburr,0.0
uniform_100,0.6,vlburr,0.0
uniform_100,0.65,vlburr,0.0
uniform_100,0.7,vlburr,-0.304856
uniform_100,0.75,vlburr,-0.2540239999999998
uniform_100,0.8,vlburr,-0.20332799999999995
uniform_100,0.85,vlburr,0.3437279999999998
uniform_100,0.9,vlburr,0.49803200000000003
uniform_100,0.95,vlburr,0.703952
uniform_100,0.99,vlburr,0.92824
zipfian,0.5,vlburr,0.0
zipfian,0.55,vlburr,0.0
zipfian,0.6,vlburr,0.0
zipfian,0.65,vlburr,0.0
zipfian,0.7,vlburr,-0.304856
zipfian,0.75,vlburr,-0.2540239999999998
zipfian,0.8,vlburr,-0.20332799999999995
zipfian,0.85,vlburr,0.3448
zipfian,0.9,vlburr,0.49792800000000004
zipfian,0.95,vlburr,0.704552
zipfian,0.99,vlburr,0.930928
